Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100031,1,2,2,5,11,4,13,28,65,75,2,2,3,5,3,1,1,2,2,3,1,1,3,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,2,1,2,3,4,4,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,1,6,87,8,3
19100032,1,1,1,2,6,5,14,28,71,78,1,2,2,5,3,1,1,1,2,3,1,1,1,1,2,2,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,4,4,3,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,3,5,3,93,5,3
19100033,4,13,22,56,36,1,3,4,9,5,1,1,1,2,2,1,1,1,2,2,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,4,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,2,3,87,13,2,2
19100034,5,15,23,57,39,1,2,1,3,3,1,1,1,2,3,1,1,1,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,1,1,94,5,3,3
19100035,4,13,22,59,32,1,1,1,2,3,1,1,1,2,3,1,1,1,2,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,1,5,96,3,3,3
19100036,5,17,27,64,66,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,1,1,95,3,3,3
19100037,4,15,26,69,133,1,1,2,3,4,1,1,2,3,4,1,1,2,3,4,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,5,1,1,91,4,4,4
19100038,5,21,36,84,234,1,1,2,3,4,1,1,2,3,4,1,1,2,3,4,2,3,2,14,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,5,8,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,2,1,7,91,4,4,4
19100039,5,17,26,63,63,1,1,2,3,3,1,1,2,3,3,1,1,2,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,92,4,4,4
19100040,4,13,22,69,128,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,6,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,3,1,94,3,3,3
