ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100031,3,8,16,39,51,2,16,26,67,66,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,3,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,3,5,94,2,2
19100032,1,1,1,3,6,3,12,22,54,32,1,1,2,3,2,1,1,2,3,3,1,1,1,1,1,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,17,80,3,3
19100033,2,5,9,21,30,3,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,2,4,97,2,2,2
19100034,2,5,7,19,52,4,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,2,2,96,3,3,3
19100035,1,1,1,2,5,4,2,2,4,4,1,1,1,2,2,1,1,1,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,2,3,94,4,3,3
19100036,1,1,1,2,6,5,2,2,3,3,1,1,1,2,3,1,1,1,2,3,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,5,91,7,3,3
19100037,1,1,1,2,9,2,1,2,3,4,1,1,2,3,4,1,1,2,3,4,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,4,5,5,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,2,3,1,92,4,4,4
19100038,1,1,1,2,11,4,2,2,4,4,1,2,2,4,4,1,2,2,4,4,2,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,4,5,6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,4,3,89,5,5,5
19100039,1,1,1,2,4,4,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,4,1,5,94,3,3,3
19100040,4,14,24,67,150,1,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,4,5,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,3,3,94,3,3,3
19100041,4,13,25,61,55,1,2,2,3,4,1,2,2,3,4,1,2,2,3,4,2,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,5,7,7,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,3,3,7,90,5,5,5
19100042,2,3,5,15,38,2,5,9,21,33,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,4,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,3,2,4,66,33,3,3
19100043,1,1,2,8,15,1,12,19,59,50,1,2,2,5,3,1,1,1,2,2,1,1,1,1,1,1,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,5,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,2,3,93,7,2
19100044,1,2,4,11,17,2,9,16,42,70,1,2,2,4,3,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,3,2,4,31,65,5,2
19100045,1,2,3,8,8,3,13,22,50,46,1,1,2,3,2,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,4,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,2,2,4,22,76,4,2
19100046,1,2,12,12,19,2,13,22,57,90,2,3,5,9,9,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,3,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,2,2,86,14,2
19100047,1,2,4,7,13,1,17,27,63,71,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,3,2,96,4,2
19100048,1,1,4,5,12,1,4,7,20,39,4,10,16,42,55,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,3,34,66,2
19100049,1,1,2,3,10,2,11,21,60,87,1,2,2,5,4,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,2,2,93,7,2
19100050,1,2,5,11,27,3,14,24,63,86,1,2,2,2,3,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,2,2,96,4,2
19100051,1,2,3,7,13,1,1,2,3,3,1,1,2,3,3,1,1,2,3,3,2,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,93,4,4,4
19100052,1,1,2,4,10,2,1,2,2,3,1,1,2,2,3,1,1,2,2,3,2,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,4,5,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,3,94,3,3,3
19100053,1,2,2,6,20,1,4,6,18,19,2,4,4,11,7,2,5,13,23,58,1,1,2,3,4,1,1,2,4,3,1,1,2,3,2,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,2,3,4,1,1,1,2,3,3,1,1,1,1,2,2,1,2,2,2,4,3,1,1,1,1,1,1,1,2,2,3,2,3,17,29,17,40
19100054,1,1,1,2,11,4,1,2,6,6,1,2,2,8,5,2,4,12,33,69,1,1,2,2,3,1,1,1,1,2,1,1,1,2,2,1,2,3,4,5,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,3,5,3,1,1,1,1,1,1,1,2,1,1,2,2,9,10,14,72
19100055,1,1,1,2,5,4,4,6,18,19,2,2,4,11,8,2,5,12,25,43,1,1,2,2,3,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,3,3,1,1,2,2,2,3,1,1,1,1,2,2,1,2,3,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,12,31,18,43
19100056,2,3,6,14,10,3,9,17,51,71,1,2,3,7,5,1,1,2,2,2,1,1,2,1,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,2,2,2,3,4,4,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,3,10,82,10,2
